Business Name,Industry,Contact Name,Email,Phone,Website,Notes,Status,Follow-Up Date
Get Lifted Gym,Fitness,,,915-900-6532,https://getliftedgym.com/,,Not Contacted,
Elev8 Gym,Fitness,,info@elev8gym.com,915-591-6000,https://elev8gym.com/,,Not Contacted,
Martin Tire Company,Automotive,,,915-621-2439 or 915-592-6496,https://www.martintire.com/?gad_source=1&gad_campaignid=22796789944&gbraid=0AAAAAoTViuvwgjQ9JApDGgxonsITujSls&gclid=Cj0KCQjwk_bPBhDXARIsACiq8R0UEvIM6Ou5k6KLH-2PvMAU-Ta-0UbFBORS_8tZdui50uzYlvwi7yUaAv2QEALw_wcB,,Not Contacted,
Milken Contruction Inc,Construction,,can submit contact form,915-544-0371,https://www.millikenconstructioninc.com/,,Not Contacted,
Larsen Manufacturing,Industrial,,techinq@larsenmfg.net OR marketing@larsenmfg.net OR quotes@larsenmfg.net,915-858-9600,https://larsenmfg.com/,,Not Contacted,
Keats Southwest Manufacturing,Industrial,,info@keatsmfg.com,915-599-2950,https://www.keatsmfg.com/,,Not Contacted,
Plastic Molding Technology - El Paso,Manufacturing,,info@plasticmolding.com,915-593-6922,https://plasticmolding.com/,,Not Contacted,
Verde Logistics,Warehousing,,info@verdelogistics.com,915-791-4034,https://verdelogisticsllc.com/,,Not Contacted,
IMC Logistics,Warehousing,,can submit contact form,833-334-4622,https://www.imcc.com/,,Not Contacted,
Jordan Foster Construction,Construction,,,915-877-3333,https://jordanfosterconstruction.com/,,Not Contacted,
Rio Grande Urology,Healthcare,,can submit contact form,915-592-7400 OR 915-532-8823 OR 915-533-0800,https://rgu.us.com/,,Not Contacted,
Integrity Asset Management,Property Management,,office@integrityamc.com,915-772-5170,https://www.integrityamc.com/,,Not Contacted,
Casa Ford,Auto Dealership,,can submit contact form,915-800-7785 OR 915-800-3043,https://www.casaford.com/?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_content=website_button,,Not Contacted,
L & J Cafe,Restuarants,,,915-566-8418,https://ljcafe.com/,,Not Contacted,
,,,,,,,Not Contacted,
,,,,,,,Not Contacted,
,,,,,,,Not Contacted,
,,,,,,,Not Contacted,
,,,,,,,Not Contacted,
,,,,,,,Not Contacted,
,,,,,,,Not Contacted,
,,,,,,,Not Contacted,
